date,cough,fever,amnesia,sore throat,sore joint,isPartial,allergy,diarrhea,runny nose,sneeze,state,itch
2006-08-01,20,35,0,10,0,False,40,10,0,0,MT,10
2006-09-01,28,18,0,0,0,False,28,9,0,0,MT,9
2006-10-01,17,46,8,8,0,False,49,0,0,8,MT,12
2006-11-01,16,54,8,0,0,False,17,12,8,0,MT,16
2006-12-01,21,33,0,0,0,False,29,17,0,0,MT,17
2007-01-01,29,58,7,22,0,False,33,7,0,7,MT,14
2007-02-01,30,48,0,11,0,False,37,0,0,0,MT,7
2007-03-01,20,44,0,0,0,False,24,17,0,0,MT,7
2007-04-01,20,58,7,13,0,False,44,10,0,0,MT,0
2007-05-01,20,33,0,13,0,False,46,7,0,13,MT,10
2007-06-01,11,33,7,7,0,False,26,18,0,0,MT,7
2007-07-01,0,35,0,10,0,False,46,7,7,0,MT,21
2007-08-01,23,39,0,0,0,False,39,16,0,0,MT,19
2007-09-01,19,53,0,6,0,False,35,6,0,6,MT,9
2007-10-01,11,53,0,6,0,False,31,6,0,0,MT,6
2007-11-01,34,43,6,11,0,False,17,0,6,6,MT,6
2007-12-01,20,35,17,14,0,False,35,6,0,0,MT,6
2008-01-01,23,38,0,5,0,False,26,21,5,0,MT,5
2008-02-01,21,47,0,5,0,False,16,5,5,5,MT,8
2008-03-01,26,31,0,10,0,False,23,5,0,5,MT,5
2008-04-01,23,38,5,15,0,False,40,10,5,0,MT,10
2008-05-01,13,59,0,8,0,False,30,16,0,5,MT,8
2008-06-01,12,42,0,30,0,False,24,0,0,6,MT,6
2008-07-01,15,52,0,6,0,False,32,12,0,0,MT,6
2008-08-01,20,34,0,11,0,False,29,29,6,0,MT,11
2008-09-01,18,33,5,5,0,False,18,15,0,5,MT,10
2008-10-01,14,33,0,5,0,False,9,16,5,5,MT,5
2008-11-01,18,44,0,15,0,False,23,13,0,0,MT,10
2008-12-01,15,51,0,5,0,False,13,0,0,5,MT,5
2009-01-01,19,41,5,15,0,False,17,15,5,5,MT,5
2009-02-01,18,41,0,5,0,False,31,16,5,8,MT,10
2009-03-01,30,32,9,7,0,False,12,21,0,0,MT,9
2009-04-01,38,48,0,8,0,False,20,10,10,5,MT,10
2009-05-01,11,46,0,17,0,False,52,11,0,9,MT,9
2009-06-01,32,44,0,12,0,False,38,27,0,6,MT,15
2009-07-01,11,34,0,11,0,False,40,11,0,0,MT,20
2009-08-01,11,25,6,8,0,False,31,20,6,6,MT,17
2009-09-01,17,22,0,17,0,False,14,19,0,11,MT,0
2009-10-01,31,60,5,5,0,False,34,10,5,8,MT,5
2009-11-01,19,27,5,27,0,False,16,22,5,6,MT,11
2009-12-01,16,13,10,16,0,False,18,13,0,0,MT,0
2010-01-01,28,49,5,13,0,False,23,15,10,5,MT,5
2010-02-01,18,61,5,13,0,False,33,15,5,8,MT,8
2010-03-01,41,52,5,14,0,False,19,22,0,5,MT,5
2010-04-01,15,66,7,12,0,False,35,12,5,5,MT,5
2010-05-01,22,61,0,8,0,False,30,11,11,6,MT,11
2010-06-01,18,54,0,6,0,False,39,18,0,0,MT,12
2010-07-01,15,76,0,12,0,False,38,18,6,0,MT,12
2010-08-01,11,45,0,6,0,False,25,25,6,0,MT,20
2010-09-01,16,35,11,11,0,False,27,19,5,5,MT,13
2010-10-01,33,51,5,10,0,False,26,13,0,0,MT,13
2010-11-01,32,51,7,15,0,False,29,27,0,0,MT,10
2010-12-01,46,60,7,17,0,False,34,15,0,5,MT,10
2011-01-01,30,50,4,11,0,False,39,15,2,2,MT,10
2011-02-01,44,54,7,16,0,False,35,12,3,6,MT,10
2011-03-01,34,51,7,17,0,False,33,25,2,4,MT,10
2011-04-01,39,53,12,13,0,False,43,28,2,6,MT,8
2011-05-01,27,60,12,9,0,False,35,17,3,0,MT,13
2011-06-01,17,47,6,17,0,False,42,25,2,2,MT,19
2011-07-01,14,40,5,18,0,False,56,29,8,5,MT,13
2011-08-01,20,47,6,16,0,False,32,27,2,5,MT,12
2011-09-01,27,50,9,14,0,False,42,19,5,2,MT,14
2011-10-01,25,36,6,15,0,False,31,20,2,2,MT,5
2011-11-01,64,49,5,16,0,False,34,25,5,4,MT,14
2011-12-01,38,50,9,10,0,False,26,22,2,4,MT,11
2012-01-01,30,55,7,17,0,False,33,28,3,4,MT,18
2012-02-01,47,58,8,9,0,False,29,29,4,10,MT,9
2012-03-01,50,47,7,9,0,False,25,23,4,4,MT,8
2012-04-01,48,65,10,14,0,False,36,39,3,2,MT,11
2012-05-01,100,55,5,18,0,False,28,33,6,2,MT,11
2012-06-01,24,45,11,18,0,False,45,22,4,2,MT,11
2012-07-01,19,58,9,12,0,False,44,27,0,4,MT,21
2012-08-01,39,41,10,8,0,False,41,24,2,2,MT,21
2012-09-01,44,36,8,13,0,False,40,29,6,5,MT,14
2012-10-01,40,55,3,14,0,False,26,22,5,5,MT,11
2012-11-01,38,45,7,19,0,False,27,30,3,3,MT,17
2012-12-01,40,62,9,24,0,False,15,30,4,3,MT,12
2013-01-01,52,56,14,24,0,False,32,33,2,2,MT,10
2013-02-01,51,66,14,21,0,False,39,30,7,5,MT,16
2013-03-01,42,56,8,18,0,False,34,32,5,4,MT,7
2013-04-01,28,45,5,19,0,False,38,39,5,5,MT,17
2013-05-01,33,49,10,18,0,False,38,26,4,3,MT,10
2013-06-01,34,39,8,22,0,False,47,31,4,3,MT,17
2013-07-01,27,46,9,17,0,False,38,34,3,5,MT,20
2013-08-01,25,34,10,11,0,False,29,36,3,2,MT,18
2013-09-01,27,41,8,16,0,False,38,28,5,5,MT,14
2013-10-01,40,45,7,19,0,False,32,26,4,4,MT,12
2013-11-01,37,39,5,18,0,False,23,39,3,4,MT,14
2013-12-01,50,45,8,21,0,False,34,37,4,3,MT,8
2014-01-01,43,50,5,16,0,False,37,37,5,4,MT,18
2014-02-01,48,68,5,19,0,False,38,37,5,3,MT,10
2014-03-01,43,53,4,24,0,False,29,40,5,5,MT,10
2014-04-01,47,59,4,26,0,False,38,34,3,4,MT,11
2014-05-01,36,50,2,21,0,False,48,43,2,9,MT,14
2014-06-01,30,53,5,12,0,False,49,37,3,3,MT,18
2014-07-01,26,59,6,13,0,False,55,51,2,5,MT,24
2014-08-01,23,41,11,14,0,False,32,36,6,6,MT,23
2014-09-01,39,48,10,22,0,False,34,37,5,3,MT,11
2014-10-01,32,41,12,20,0,False,22,36,7,6,MT,10
2014-11-01,37,58,12,23,0,False,29,33,3,2,MT,15
2014-12-01,60,59,7,22,0,False,20,40,1,3,MT,13
2015-01-01,46,64,11,23,0,False,24,49,6,3,MT,11
2015-02-01,62,75,2,24,0,False,38,40,5,6,MT,12
2015-03-01,59,77,4,31,0,False,45,39,6,5,MT,4
2015-04-01,43,55,11,25,0,False,45,40,4,6,MT,21
2015-05-01,37,61,6,23,0,False,33,38,5,5,MT,13
2015-06-01,30,55,5,17,0,False,50,36,5,3,MT,19
2015-07-01,21,57,8,14,0,False,37,39,1,3,MT,27
2015-08-01,29,43,7,22,0,False,34,37,5,6,MT,21
2015-09-01,39,41,8,27,0,False,25,48,4,3,MT,16
2015-10-01,40,45,6,21,0,False,27,39,5,4,MT,11
2015-11-01,42,50,6,18,0,False,24,34,1,4,MT,10
2015-12-01,44,51,4,23,0,False,33,35,6,4,MT,14
2016-01-01,52,65,2,22,0,False,26,43,7,5,MT,13
2016-02-01,50,83,4,21,0,False,35,45,4,5,MT,12
2016-03-01,57,77,3,24,0,False,29,37,3,4,MT,16
